district,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count
บ้านแพง,18,21,151,14,3,62,12,71,76,33,55,654,177,0,0,16,0
บ้านแพรก,240,47,42,33,9,132,6,68,23,87,4,124,145,0,0,2,0
บ้านแพ้ว,27,11,171,10,23,92,48,93,170,20,59,231,166,0,0,31,12
บ้านแหลม,30,7,236,11,2,36,1,99,5,158,157,376,257,0,0,1,1
บ้านโคก,32,21,197,24,9,129,10,169,25,10,2,612,129,0,0,22,0
บ้านโพธิ์,2,1,2,1,0,6,0,4,4,5,3,268,328,0,0,0,0
บ้านโฮ่ง,237,205,227,230,23,629,22,676,132,162,208,1591,1779,1,0,10,9
บ้านใหม่ไชยพจน์,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
บ้านไร่,477,119,230,118,111,364,33,443,342,99,62,2440,1074,0,0,0,0
ปง,336,208,137,184,17,637,6,774,226,186,97,1523,703,1,0,130,45
ปทุมรัตต์,56,42,222,38,8,266,13,150,33,37,26,854,205,0,0,22,0
ปทุมราชวงศา,25,14,11,11,2,33,8,21,81,33,38,1106,215,1,1,93,4
ปทุมวัน,5,2,6,1,0,0,3,1,1,1,0,9,5,0,0,0,0
ประจันตคาม,22,2,21,2,0,29,2,52,10,5,0,47,28,0,0,12,0
ประทาย,2,3,0,3,0,6,0,6,6,1,0,3,13,0,0,0,0
ประเวศ,41,9,8,7,0,11,24,8,18,11,2,88,23,0,0,0,0
ประโคนชัย,0,0,0,0,0,0,0,0,0,0,0,58,76,0,0,0,0
ปรางค์กู่,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
ปราณบุรี,56,42,400,36,0,64,9,77,82,28,54,129,83,0,0,3,0
ปราสาท,0,41,0,1,0,0,0,0,15,298,1,452,354,0,2,19,0
ปลวกแดง,5,2,103,4,141,39,7,68,39,5,1,607,37,0,0,0,1
ปลาปาก,10,26,216,21,7,47,1,46,127,18,61,977,182,1,0,39,0
ปลายพระยา,246,86,658,48,124,209,107,744,878,181,255,2326,1350,1,0,203,6
ปะคำ,0,1,1,1,0,1,0,1,0,0,0,6,7,0,0,0,0
ปะทิว,62,60,263,55,44,765,134,236,71,28,53,1483,474,0,0,0,2
ปะนาเระ,163,13,208,16,8,58,22,127,123,7,13,484,312,1,0,2,1
ปะเหลียน,39,236,642,204,6,426,66,586,104,14,130,1431,1300,0,0,60,0
ปัว,191,136,333,112,34,328,24,329,120,217,147,1538,1182,1,0,38,38
ปากคาด,44,33,102,60,33,133,83,225,45,21,3,272,196,0,0,4,0
ปากชม,61,38,55,49,11,164,8,335,17,52,29,524,267,1,0,66,0
ปากช่อง,2,0,0,0,1,1,0,1,1,0,0,5,0,0,0,0,1
ปากพนัง,3,37,1944,26,92,169,178,356,5,1,1,3232,378,0,0,5,56
ปากพลี,614,149,499,119,68,1105,26,1959,233,149,28,2235,1140,0,0,55,14
ปากพะยูน,37,75,1565,70,0,204,217,143,94,16,7,1429,513,0,0,0,0
ปากเกร็ด,817,99,386,88,68,558,60,377,787,47,22,1522,601,0,0,788,22
ปางมะผ้า,65,57,317,49,13,76,3,330,113,37,9,339,802,0,2,14,11
ปางศิลาทอง,12,5,85,11,8,13,0,23,45,26,31,129,425,0,0,94,0
ปาย,206,114,416,97,39,277,24,475,190,104,42,673,1035,6,0,24,14
ป่าซาง,287,213,257,212,44,454,28,437,205,171,156,1964,1629,0,1,8,1
ป่าติ้ว,21,7,97,11,15,33,9,26,37,12,16,333,222,0,0,0,0
ป่าบอน,133,88,91,54,4,127,543,107,66,13,13,397,1137,0,0,5,0
ป่าพะยอม,43,79,228,61,0,256,275,189,77,16,5,353,293,0,0,11,0
ป่าแดด,115,81,93,66,94,212,5,272,153,133,34,1285,712,1,0,2,0
ป่าโมก,403,118,307,98,113,369,15,377,131,61,40,893,1000,3,0,1,0
ป้อมปราบศัตรูพ่าย,9,1,1,1,0,6,11,7,5,0,1,42,24,0,0,0,0
ผักไห่,749,56,443,57,16,856,1,885,86,321,62,952,374,0,0,4,3
ผาขาว,137,15,341,20,57,404,49,293,15,19,34,827,202,0,0,19,0
ฝาง,164,147,1288,129,60,537,69,780,801,263,384,4306,2662,2,1,245,15
พญาเม็งราย,136,40,320,37,7,100,5,192,112,104,42,1035,393,0,0,1,33
พญาไท,10,0,4,0,0,5,3,3,5,3,1,14,12,0,0,0,0
พนม,7,17,14,42,4,275,1,297,4,11,3,731,124,0,0,15,0
พนมดงรัก,0,3,0,0,0,0,0,0,64,109,21,461,341,0,0,2,0
พนมสารคาม,4,20,6,0,0,4,0,4,16,13,8,589,1542,0,0,122,2
พนมไพร,41,50,686,57,14,293,27,359,48,277,67,1483,386,4,1,91,4
พนัสนิคม,1,1,6,1,1,2,1,5,5,0,1,70,4,0,0,1,3
พนา,17,13,9,11,7,43,6,12,83,16,15,646,111,0,0,57,0
พบพระ,65,82,998,116,11,316,51,982,64,26,28,1517,1312,1,0,138,105
พยัคฆภูมิพิสัย,12,26,115,13,10,28,372,33,63,4,3,865,1575,0,0,10,0
พยุหะคีรี,224,49,177,39,121,643,2,747,15,150,43,1097,37,0,0,1,0
พยุห์,1,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0
พรรณานิคม,60,63,1371,34,45,174,220,1035,882,100,360,2083,1892,0,0,85,6
พรหมคีรี,3,18,353,4,6,33,2,39,45,6,1,1026,106,0,0,2,2
พรหมบุรี,119,14,66,13,4,132,80,98,59,69,9,356,127,0,0,0,0
พรหมพิราม,393,230,249,202,17,569,9,648,300,363,209,2068,1341,3,1,9,37
พระนคร,4,0,0,0,0,2,2,1,2,0,1,11,5,0,0,0,1
พระนครศรีอยุธยา,300,113,790,111,27,404,9,627,213,95,211,618,831,0,0,3,5
พระประแดง,340,25,235,30,27,266,466,199,438,106,51,1285,1205,1,0,262,0
พระพรหม,16,12,697,9,12,42,5,44,10,68,4,1552,447,0,0,33,5
พระพุทธบาท,814,153,99,130,24,420,371,852,357,345,33,1360,1037,0,0,11,5
พระสมุทรเจดีย์,301,77,659,75,77,351,370,257,600,119,97,1756,2183,0,0,352,0
พระแสง,198,93,541,72,132,694,1,1554,116,215,46,5352,1010,1,0,5,0
พระโขนง,7,1,1,0,0,5,5,3,3,1,0,18,5,0,0,0,0
พรานกระต่าย,198,74,193,78,53,289,246,328,301,123,74,1587,1174,0,0,153,4
พรเจริญ,111,62,101,93,25,198,82,391,64,45,25,632,157,0,0,1,0
พร้าว,58,55,446,59,18,185,9,215,170,89,32,920,663,0,0,30,1
พลับพลาชัย,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0
พะโต๊ะ,69,25,186,22,17,198,116,101,22,11,40,1262,532,0,0,0,0
พังโคน,27,42,1021,20,53,103,105,471,234,46,91,771,899,0,0,20,0
พัฒนานิคม,437,128,352,111,4,358,24,349,402,140,117,1134,482,1,0,59,60
พาน,485,290,459,261,602,1121,62,1409,741,890,171,6685,2818,2,1,8,22
พานทอง,8,2,48,2,1,5,0,2,5,4,0,69,8,0,0,1,1
พิชัย,285,133,331,116,17,509,17,274,116,80,43,1650,729,0,0,330,0
พิบูลมังสาหาร,2,20,330,12,0,12,0,64,4,72,43,314,232,0,0,138,0
พิปูน,83,15,373,12,27,161,91,103,67,5,1,840,72,0,0,6,1
พิมาย,2,1,0,1,0,0,2,0,1,1,0,2,0,0,0,0,0
พุทธมณฑล,0,0,30,0,0,0,1,0,12,0,0,35,0,0,0,0,0
พุนพิน,352,185,76,164,32,1289,13,1523,522,420,148,3090,2043,1,0,24,9
ฟากท่า,123,44,123,38,14,206,22,132,37,23,17,732,116,0,0,59,0
ภักดีชุมพล,107,68,303,65,13,129,68,411,79,41,10,496,164,0,0,9,0
ภาชี,74,21,23,20,0,69,9,61,18,27,26,263,172,0,0,352,2
ภาษีเจริญ,44,1,3,0,0,37,9,10,5,1,0,46,14,0,0,0,2
ภูกระดึง,38,19,40,22,7,81,19,157,14,43,27,304,149,0,0,72,0
ภูกามยาว,120,36,297,25,15,225,5,324,43,29,21,305,344,0,0,6,0
ภูซาง,307,231,121,234,30,524,0,390,167,301,37,992,327,0,0,39,5
ภูพาน,11,43,796,38,27,210,36,531,115,41,145,418,684,1,0,22,0
ภูสิงห์,0,0,0,0,0,0,0,0,9,0,0,9,54,0,0,9,0
ภูหลวง,73,14,66,15,41,152,20,910,47,31,1,379,328,0,0,50,1
ภูเขียว,96,44,1139,51,39,294,48,593,54,32,6,1299,142,0,0,2,3
ภูเพียง,166,96,72,84,21,227,21,303,85,137,36,885,595,3,0,34,5
ภูเรือ,7,19,70,22,35,140,37,519,23,11,29,428,105,0,0,0,1
มวกเหล็ก,135,170,216,149,2,298,2,222,160,41,16,725,316,1,0,1,0
มหาชนะชัย,52,18,79,25,0,62,4,87,3,36,4,313,321,0,0,0,2
มหาราช,47,16,48,35,2,137,1,139,34,20,13,154,105,0,0,1,1
